Sum of Precip (inches),Month,,,,,,,,,,,,
Year ,1,2,3,4,5,6,7,8,9,10,11,12,Grand Total
1897,0,0,0,0,2.3,3.71,3.09,2.96,0.86,1.66,0.47,0.7,15.75
1898,0.43,0.55,0.67,1.54,3.76,1.33,0.97,1.45,1.12,0.9,1.93,1.3,15.95
1899,0.87,0.98,2.79,1.13,0.53,0.58,2.19,1.81,0.15,1.94,0,0.96,13.93
1900,0.4,1.06,0.75,9.17,1.84,0.49,0.48,0.22,1.54,0.13,0.19,0.61,16.88
1901,0.53,0.3,1.74,3.51,1.62,1.76,0.46,1.69,0.16,0.65,0,1.43,13.85
1902,0.37,0.48,1.48,1.01,2.32,1.46,1.26,0.53,5.46,1.44,1.29,1.34,18.44
1903,0.08,1.42,1.45,2.31,2.02,1.87,0.95,1.46,1.31,3.43,0.15,0.16,16.61
1904,0.09,0.31,2.37,1.45,5.35,2.72,1.05,1,1.6,1.06,0.08,0.7,17.78
1905,0.81,0.7,1.65,6.65,4.78,0.55,1.86,0.22,1.64,2.54,0.23,0,21.63
1906,0.22,0.17,2.29,3.76,3.37,1.56,3.52,2.5,3.13,1.8,1.87,0,24.19
1907,0.22,0.56,0.47,3.59,5.29,0.59,2.79,0.44,1,0.58,0.41,0.27,16.21
1908,0.6,0.09,0.23,0.71,3.45,0.29,2.07,3.3,1.55,2.59,1.96,1.04,17.88
1909,0.11,1.21,4.16,3.6,1.85,1.67,3.18,0,4.51,0.55,1.56,1.72,24.12
1910,0.2,1.39,0.05,1.34,3.38,0,0,0,0.48,1.05,0.27,0.53,8.69
1911,0.73,1.56,0.64,2.65,0.9,1.3,1.67,1.29,0.26,1.59,0.72,0,13.31
1912,0,0,0,1.69,3.82,2.09,3.75,1.68,2.7,1.03,0.93,0.3,17.99
1913,0.86,1.23,0.71,1.58,1.85,1.21,4.05,0.64,2.62,2.24,0,4.2,21.19
1914,0,0.08,1.77,3.38,3.36,1.7,2.32,1.93,0.25,2.69,0.31,0.29,18.08
1915,0.4,1.31,1.68,4.46,4.01,1.78,2.58,1.67,3.02,1.83,0.25,1.5,24.49
1916,0.73,0.02,1.02,2.36,3.77,0.53,1.26,1.9,1.32,4.6,1.32,0.86,19.69
1917,0.31,0.54,1.75,2.81,6.17,0.13,0.48,0.2,0.13,0.95,0.1,0.42,13.99
1918,0.68,1.18,0.72,2.98,2.03,1.28,2.54,0.57,3.62,1.1,0.78,0.86,18.34
1919,0,0.32,1.49,2.65,0.88,2,6.97,0.95,0.88,1.31,2.07,0.5,20.02
1920,1.22,1.34,0.58,4.07,1.61,1.87,0.68,2.55,0.73,2.43,0.78,0.85,18.71
1921,0.11,0.31,0.67,4.81,1.5,3.6,1.53,2,0.17,1.13,0.98,1.46,18.27
1922,0.63,0.59,0.81,3.32,1.02,0.62,1.04,1.46,0,1.13,2.58,0.56,13.76
1923,0,1.71,2.29,1.29,3.47,4.44,2.46,2.68,1.32,5.43,0.4,0.88,26.37
1924,0.33,0.36,1.77,2.52,2.77,0,0.38,0.48,2.06,1.47,0.12,1.33,13.59
1925,0.01,0,0.35,0.25,1.61,1.86,2.1,1.83,2.24,4.82,0.99,1.18,17.24
1926,0.55,0.65,2.69,2.96,3.22,0.55,1.33,2.03,0.41,0.95,0.33,1.97,17.64
1927,0.22,0.47,2.66,3.46,1.72,3.47,2.39,1.26,1.29,0.86,0.95,0.69,19.44
1928,0.07,1.62,2.72,1.55,5.48,2.75,1.34,0.66,0.23,1.78,2.09,0.04,20.33
1929,0.36,0.73,2.57,1.6,1.5,1.75,4.06,2.61,1.79,1.7,1.89,0.66,21.22
1930,0.64,0.56,0.88,0.99,2.17,1.02,2.85,3.81,0.36,0.65,1.33,0.68,15.94
1931,0,1.81,1.59,1.6,3.67,2.18,1.07,0.53,0.2,0.71,0.85,0.02,14.23
1932,0.33,1.06,1.47,2.01,1.1,1.08,1.55,1.17,0.1,1,0.42,0.56,11.85
1933,0,0.26,1.28,4.15,3.94,0.3,0.55,1.61,2.46,0,0.4,1.13,16.08
1934,0.1,1.88,1.63,2.82,3.11,1.9,0.24,0.21,1.02,0,0.84,0.22,13.97
1935,0.08,0.51,0.14,2.8,7.04,0.8,0.33,1.09,1.4,1.46,0.78,0.01,16.44
1936,0.17,0.38,2.88,1.2,2.75,2.85,1.34,3.51,1.86,2.71,0.25,0.36,20.26
1937,0.34,0.58,0.83,2.01,2.31,3.91,0.82,0.91,0.69,0.58,0.44,2.16,15.58
1938,0.6,0.59,2.59,4.42,4.38,2.82,3.31,1.32,5.21,0.65,2.11,1.04,29.04
1939,0.83,0.88,1.68,1.94,1.74,0.84,0.27,0.94,0.69,0.99,0.05,0.26,11.11
1940,1.54,1.09,1.58,2.05,2.57,0.83,1.87,1.47,5.68,0.6,0.75,0.42,20.45
1941,1.12,0.29,2.92,4.08,2.07,1.53,2.51,2.54,2.22,3.13,0.71,0.87,23.99
1942,1.19,1.85,0.93,6.94,1.8,3.22,0.57,1.66,1.16,6.04,0.41,0.46,26.23
1943,0.1,0.33,1.19,1.36,4.85,1.17,2.33,3.08,0,0.04,0.96,0.34,15.75
1944,0.9,0.4,3.79,6.79,1.77,0.96,1.92,0.6,0,0.45,0.33,0.68,18.59
1945,1.26,0.66,1.07,4.12,3.86,2.05,2.35,3.86,0.69,1.46,0.61,0.74,22.73
1946,1,0.18,0.71,0.89,3.55,1.33,1.51,2.19,1.32,2.17,3.68,0.11,18.64
1947,0.57,1.16,2.66,1.34,4.35,4.07,0.56,1.37,0.72,3.74,1.23,0.66,22.43
1948,2.5,0.46,3.32,2,1.3,2.35,1.11,0.32,0.95,1.1,0.98,0.54,16.93
1949,1.66,0.17,2.54,2.17,3.69,7.4,1.16,0.36,0.26,1.52,0,0.29,21.22
1950,0.99,0.26,0.41,2.95,3.49,0.89,0.79,0.21,1.55,0.39,1.97,0.26,14.16
1951,1.12,1.01,2.4,2.73,1.93,2.63,1.4,7.49,0.88,2.77,1.51,1.54,27.41
1952,0.01,0.48,2.26,3.29,4.45,0.77,0.91,2.19,0.49,0.42,1.71,0.17,17.15
1953,0.46,0.92,1.6,2.22,2.69,1.33,2.84,1.07,0.01,0.56,1.14,1.17,16.01
1954,0.48,0.25,1.16,0.83,1.33,1.16,1.73,0.83,1.37,0.42,0.67,0.68,10.91
1955,0.39,1.41,2.14,0.22,2.49,1.88,1.33,1.5,1.05,0.56,1.42,0.86,15.25
1956,0.41,1.53,1.59,1.46,3.67,1.9,2.5,2.24,0.02,0.5,1.83,0.8,18.45
1957,1.05,1.28,0.63,6.85,9.27,0.93,0.92,1.97,0.85,2.48,1.12,0.08,27.43
1958,0.74,0.53,2.8,3.19,4.17,2.05,1.99,0.82,1.05,0.56,0.63,0.75,19.28
1959,1.01,1.29,1.91,2.08,3.73,0.64,0.82,1.35,3.01,2.18,0.72,0.11,18.85
1960,0.54,1.04,0.72,1.9,3.79,1.03,1.28,0.41,0.67,2.38,0.27,1.27,15.3
1961,0.43,0.7,2.68,0.73,3.7,2.17,2.31,2.06,4.89,1.04,1.25,0.43,22.39
1962,1.52,0.82,0.48,0.99,1.99,2.25,2.16,0.19,0.28,1.09,0.84,0.16,12.77
1963,0.96,0.4,1.81,0.15,1.37,4.62,0.69,2.34,2.96,0.34,0.7,0.61,16.95
1964,0.43,0.65,1.48,0.86,2.27,1.27,2.02,0.33,0.36,0.28,0.64,0.88,11.47
1965,0.73,1.19,2.11,2.38,1.42,2.49,5.2,0.23,2.84,0.18,0.26,0.44,19.47
1966,0.2,1.33,0.31,1.21,0.8,1.54,0.92,0.75,2.71,0.6,0.49,0.27,11.13
1967,0.61,0.49,0.82,2.1,4.46,4.98,2.97,3.94,1.02,1.58,0.73,1.19,24.89
1968,0.18,0.99,0.97,1.73,2.27,2.36,1.03,3.46,1.39,0.54,0.86,0.41,16.19
1969,0.29,0.22,0.53,1.14,8.66,5.34,2.75,0.73,0.76,5.39,0.92,0.79,27.52
1970,0.1,0.03,3.86,0.63,1.17,2.61,1.35,0.2,3.83,1.09,1.6,0.18,16.65
1971,0.51,1.36,0.78,6.01,2,0.41,1.37,0.1,4.21,0.72,0.56,0.66,18.69
1972,1.15,0.44,0.68,1.52,1.22,3.66,2.24,1.79,1.18,1.26,2.15,1.14,18.43
1973,1.09,0.17,1.74,4.42,4.88,0.48,1.14,0.32,2.31,0.69,1.84,1.13,20.21
1974,0.9,1.07,1.22,3.07,0,2.08,0.51,0.37,2.13,2.24,1.06,0.46,15.11
1975,0.45,0.88,1.23,2.85,4.33,2.01,1.67,1.31,1.06,0.68,1.2,0.57,18.24
1976,0.42,0.34,1.19,1.99,2.14,1.25,1.62,1.43,2.73,1.02,0.21,0.32,14.66
1977,0.08,0.45,0.53,3.32,0.93,0.66,4.75,1.48,0.15,0.4,0.61,0.13,13.49
1978,1.02,0.33,1.06,3.77,8.03,1.65,1.55,1.57,0.57,2.46,0.2,0,22.21
1979,0.59,0.06,2.57,2.21,0,0,1.69,1.77,0,1.35,2,1.7,13.94
1980,0.99,0.8,1.18,2.17,2.48,0.32,0,0.92,1.18,0.6,1.14,0.17,11.95
1981,0.19,0.37,2.31,1.16,4.47,1.75,1.97,2.65,1.45,1.28,0.21,0.55,18.36
1982,0.02,0.29,0.61,0.33,4.65,1.71,3.45,2.72,4.36,1.43,0,1.52,21.09
1983,0.07,0.23,4.6,2.88,5.54,2.55,2.84,0.78,0.38,0.3,3.46,0.88,24.51
1984,0.55,0.8,2.66,2.29,0.45,1.85,1.67,2.57,1.01,4.25,0.01,0.43,18.54
1985,0.99,0.89,1.43,1.82,1.37,1.91,1.99,0.03,2.86,1.07,1.95,1.13,17.44
1986,0.09,1.04,0.61,4.88,2.62,1.68,1.94,0.67,1.15,3.66,2.37,0.64,21.35
1987,1.17,2.44,2.42,2.55,2.12,6.04,1.26,1.99,1.13,0.94,1.79,1.97,25.82
1988,0.4,1.14,2.53,1.48,3.7,0.7,0.71,1.33,2.02,0.03,0.75,2.16,16.95
1989,1.19,1.27,0.97,1.95,2.68,2.93,1.43,0,0,0,0,0,12.42
1990,0,0,0,2.16,1.73,0.39,4.23,1.13,1.84,0.96,1.6,0.75,14.79
1991,1.05,0.15,0.43,2.41,2.9,3.59,3.01,2.08,1.03,0.93,3.3,0.01,20.89
1992,0.67,0,5.17,0.46,1.7,0.96,1.13,3.08,0.02,0.79,2.56,0.68,17.22
1993,0.25,0.9,2.15,2.29,1.64,3.38,1.4,1.04,3.32,2.42,2.17,0.55,21.51
1994,0.86,1.37,1.61,3.46,1.35,0.93,0.35,2.56,0.53,1.02,2.25,0.49,16.78
1995,0.64,1.53,1.21,5.45,9.59,4.03,0.72,1.45,2.96,0.59,1.51,0.25,29.93
1996,1.89,0.29,2.16,1.49,4.63,2.77,1.96,0.63,3.48,0.28,1.43,0.37,21.38
1997,0.87,1.83,0.91,5.59,2.19,3.71,1.12,5.29,1.92,2.65,1.52,0.68,28.28
1998,1.07,0.3,3.41,4.56,1.82,1.85,4.02,0.97,0.32,1.12,1.53,1.05,22.02
1999,0.65,0.08,1.09,7.55,1.84,0.82,2.54,5.54,2.61,1.33,0.81,1.01,25.87
2000,0.29,0.55,2.56,1.5,1.6,1.53,2.09,0.72,2.51,1.28,0.89,0.44,15.96
2001,0.73,0.85,2.01,2.94,4.96,1.09,1.76,1.63,1.77,0.4,1.02,0.36,19.52
2002,1.07,0.44,1.5,0.2,3.2,1.18,0.09,1.38,1.52,2.44,0.78,0.02,13.82
2003,0.09,1.52,5.44,2.79,2.62,2.69,0.71,3.52,0.35,0.45,0.8,0.84,21.82
2004,0.96,1.31,1.09,5.54,1.28,3.96,3.44,2.88,2.07,2.32,1.99,0.35,27.19
2005,1.4,0.31,1.22,3.66,1.91,2.68,0.42,1.63,0.42,2.8,0.34,0.43,17.22
2006,0.44,0.68,2.08,1.04,1.14,1.32,2.63,1.23,1.25,3.71,0.74,3.05,19.31
2007,1.68,0.86,1.69,2.24,1.79,0.38,0.8,1.82,1.92,1.38,0.47,2.1,17.13
2008,0.46,0.63,1.47,1.13,4.21,1.58,0.09,2.97,1.84,1.18,0.13,1.33,17.02
2009,0.62,0.27,1.89,5.88,3.08,2.69,1.42,0.33,0.42,3.26,0.93,1.39,22.18
2010,0.27,1.37,3.3,3.63,2.71,3.36,2.31,1.28,0.25,0.94,0.61,0.48,20.51
2011,0.96,1.02,0.42,2.39,5.16,1.29,2.9,1.08,2.56,1.65,0.95,1.92,22.3
2012,0.38,1.94,0.01,1.31,1.78,0.38,4.99,0.36,2.27,1.44,0.28,0.51,15.65
2013,0.27,1.13,1.72,4.14,2.66,0.61,1.03,1.4,18.16,2.24,0.29,0.5,34.15
2014,1.67,0.68,1.62,1.87,4.43,0.84,4.57,1.6,,,,,17.28
Grand Total,70.83,89.54,191.82,311.83,349.22,220.61,216.46,184.23,193.75,175.67,116.82,89.03,2209.81
